Year,Team,Position,Goal_Difference,Points,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value
2022,manchester city,1,61,89,34,25.5,21,33.7,1150.0
2022,arsenal fc,2,45,84,42,23.5,25,23.83,1000.0
2022,chelsea fc,12,15,75,43,24.7,28,23.14,994.95
2022,manchester united,3,35,71,48,24.9,28,17.67,848.0
2022,liverpool fc,5,28,67,39,25.1,24,20.82,811.85
2022,tottenham hotspur,8,19,62,34,25.4,21,19.09,649.1
2022,newcastle united,4,5,61,38,27.8,21,14.25,541.6
2022,brighton & hove albion,6,7,60,42,23.6,28,12.61,529.8
2022,aston villa,7,12,59,43,24.9,24,11.85,509.55
2022,wolverhampton wanderers,13,2,52,43,25.3,34,11.57,497.65
2022,leicester city,18,-9,45,38,25.9,22,12.92,490.8
2022,west ham united,14,-9,44,44,24.9,24,10.59,465.75
2022,southampton fc,20,-27,41,46,24.2,25,9.13,419.95
2022,everton fc,17,-13,40,40,26.3,20,10.33,413.15
2022,nottingham forest,16,-34,39,50,26.1,29,7.53,376.25
2022,brentford fc,9,-30,38,36,24.8,26,10.31,371.2
2022,leeds united,19,-23,36,47,23.5,31,7.34,345.15
2022,crystal palace,11,-17,34,39,24.9,19,8.28,323.05
2022,fulham fc,10,-30,31,47,25.3,34,6.28,295.25
2022,afc bournemouth,15,-37,25,47,24.4,23,6.11,287.2
